configuration,threshold,learning_sample_size,TP,FP,FN,delay_mean,delay_std,delay_median,labeled_delay_mean,labeled_delay_std,labeled_delay_median,power,significance
exponential,0.07,10,0,159,0,30.934,40.018,22.0,,,,0.0,0.159
exponential,0.07,20,0,36,0,70.778,85.39,38.5,,,,0.0,0.036
exponential,0.07,50,0,1,0,241.0,,241.0,,,,0.0,0.001
exponential,0.18,5,0,377,0,22.194,47.19,11.0,,,,0.0,0.377
exponential,0.18,10,0,202,0,33.909,53.34,19.0,,,,0.0,0.202
exponential,0.18,20,0,76,0,63.958,63.693,39.5,,,,0.0,0.076
exponential,0.18,50,0,19,0,151.842,79.0,138.0,,,,0.0,0.019
exponential,0.27,5,0,421,0,21.78,40.094,11.0,,,,0.0,0.421
exponential,0.27,10,0,249,0,33.772,50.836,19.0,,,,0.0,0.249
exponential,0.27,20,0,120,0,64.836,64.992,43.0,,,,0.0,0.12
exponential,0.27,50,0,58,0,108.31,67.997,87.0,,,,0.0,0.058
exponential-beta,0.04,5,914,356,86,57.234,29.12,55.0,29.808,48.842,44.0,0.914,0.356
exponential-beta,0.04,10,896,228,104,68.258,32.292,63.0,49.728,39.952,52.0,0.896,0.228
exponential-beta,0.04,20,867,178,133,82.68,35.95,75.0,67.878,35.041,63.0,0.867,0.178
exponential-beta,0.04,50,790,197,210,116.654,45.434,106.0,100.176,41.995,89.0,0.79,0.197
exponential-beta,0.07,5,912,384,88,53.674,27.061,51.25,24.027,50.124,40.5,0.912,0.384
exponential-beta,0.07,10,890,249,110,64.288,30.538,59.0,44.395,40.037,47.0,0.89,0.249
exponential-beta,0.07,20,870,187,130,77.709,35.646,70.0,62.314,34.799,57.0,0.87,0.187
exponential-beta,0.07,50,782,214,218,110.077,45.352,99.0,92.644,41.324,81.0,0.782,0.214
exponential-beta,0.18,5,914,423,86,47.563,24.22,44.0,14.897,51.01,33.0,0.914,0.423
exponential-beta,0.18,10,895,298,105,57.776,28.852,51.0,35.494,40.887,40.0,0.895,0.298
exponential-beta,0.18,20,872,226,128,68.901,33.545,60.5,52.114,33.723,47.0,0.872,0.226
exponential-beta,0.18,50,772,252,228,97.17,43.936,86.0,78.095,39.378,67.0,0.772,0.252
exponential-beta,0.27,5,915,451,85,44.828,23.867,40.75,9.645,52.193,29.0,0.915,0.451
exponential-beta,0.27,10,895,317,105,53.618,28.117,46.0,30.485,41.819,36.0,0.895,0.317
exponential-beta,0.27,20,876,247,124,64.008,32.348,56.0,47.026,33.933,42.0,0.876,0.247
exponential-beta,0.27,50,765,281,235,90.991,44.197,79.0,70.794,39.052,60.0,0.765,0.281
exponential-exponential,0.04,5,1000,471,0,23.427,13.114,20.0,14.874,45.49,16.0,1.0,0.471
exponential-exponential,0.04,10,999,232,1,28.224,12.722,25.0,20.641,27.735,20.0,0.999,0.232
exponential-exponential,0.04,20,983,105,17,37.997,16.779,34.0,29.561,17.029,27.0,0.983,0.105
